Month,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,Mountain,West South Central,Pacific Noncontiguous,Pacific Contiguous
3-Dec,10284.352,30843.772,50502.424,23628.204,58414.055,27788.516,25605.799,42642.452,1473.574,28665.44
3-Nov,10654.518,31233.559,50730.678,24005.327,59437.297,28399.884,26456.96,45624.594,1532.675,28600.057
3-Oct,10907.562,31836.413,52205.126,23988.71,66157.922,30088.482,28114.961,49775.057,1461.245,31759.244
3-Sep,12683.47,38985.3,60663.152,29293.929,77119.306,36189.933,31913.841,61750.223,1457.924,33599.731
3-Aug,12243.51,38018.369,58316.13,29068.718,75233.134,34918.346,32225.958,59305.49,1466.661,29538.196
3-Jul,10247.181,33334.138,50565.083,24596.746,67708.51,30295.636,27627.784,53402.235,1378.187,28228.269
3-Jun,9444.872,30502.843,47106.761,22685.616,63369.541,28424.177,25967.99,50413.848,1400.969,26803.155
3-May,9977.719,29807.696,46435.333,21477.203,58622.988,25535.342,23094.451,42648.2,1353.612,27684.37
3-Apr,10285.218,31964.619,51989.076,24217.188,61494.652,27370.328,25269.39,42588.416,1454.009,24630.264
3-Mar,10273.044,32341.268,50757.104,23866.509,61302.16,28040.828,24197.944,42515.706,1323.947,26726.997
3-Feb,11708.305,37153.287,57397.676,27151.293,71778.453,32577.578,27358.174,48674.859,1462.277,26798.907
3-Jan,11364.732,35861.865,54176.121,26401.096,65314.301,30923.614,27488.343,44902.749,1601.983,24344.835
2-Dec,10640.537,31972.255,50817.7,23937.809,57772.548,28279.112,25596.168,41399.598,1528.996,25352.88
2-Nov,10308.022,32143.287,51439.516,24116.337,64104.233,27368.552,25610.659,45025.163,1591.44,27348.231
2-Oct,10023.35,34386.461,54543.371,24559.749,67855.391,30432.891,27197.755,53384.461,1547.779,30716.949
2-Sep,11445.315,40348.775,61452.029,27537.532,76125.326,34982.695,28901.466,61506.443,1569.297,33180.52
2-Aug,11688.305,40178.81,63369.038,28632.149,76905.9,35518.08,29925.997,60577.849,1565.459,31348.779
2-Jul,10143.55,35213.974,55004.018,25556.316,68564.593,32285.343,27017.073,54379.65,1511.269,27266.46
2-Jun,9485.925,31146.628,49039.189,21748.948,62580.261,29326.287,26613.706,48949.683,1517.479,26646.76
2-May,9202.636,29451.91,47658.76,21344.027,58310.289,27790.241,23986.54,43967.297,1489.786,27819.582
2-Apr,10056.884,30646.338,51176.451,23447.522,59590.349,28651.743,25459.572,44172.408,1528.163,24573.165
2-Mar,9210.453,29982.475,46096.875,21724.824,55268.507,27574.581,23893.163,42109.981,1391.688,28677.384
2-Feb,10770.4,34151.171,52278.902,25297.435,62815.78,30899.33,26444.734,47019.282,1587.056,27185.322
2-Jan,10365.099,33184.985,51259.562,24359.674,55498.722,31284.999,26754.936,44100.471,1502.558,23969.765
1-Dec,9434.711,30331.938,47472.661,22206.773,50732.604,27726.556,25309.309,40321.756,1427.873,25747.793
1-Nov,9915.666,31233.526,48775.486,23181.434,55230.161,30491.364,25468.017,43196.364,1493.797,26452.595
1-Oct,9988.828,31759.84,48064.838,23284.229,59476.65,31970.336,25513.056,48879.6,1538.896,30864.534
1-Sep,11520.47,39574.742,59338.128,27469.184,75129.593,36558.802,29175.196,59357.566,1544.612,29097.237
1-Aug,10220.887,36637.41,57249.317,27361.62,70454.947,35550.328,29648.592,59903.407,1489.953,28140.685
1-Jul,10059.375,34862.459,52609.006,23618.983,66210.028,31979.553,27274.881,51577.123,1361.883,27090.104
1-Jun,8591.5,30940.188,48696.673,20745.501,59024.877,29568.561,27219.851,47243.819,1370.549,26042.028
1-May,8320.897,29474.163,45951.256,19771.091,55824.732,26477.538,23517.664,41374.924,1324.576,27832.996
1-Apr,9505.969,33902.556,51377.128,22010.841,58510.94,29401.75,25869.711,40834.225,1460.429,25186.362
1-Mar,8662.316,31218.925,48200.274,22083.925,54571.094,27306.648,25227.419,39136.222,1347.014,29087.227
